State,HighQ,HighQN,MedQ,MedQN,LowQ,LowQN,date
Montana,269.87,614,257.02999999999997,285,704.88999999999999,23,2014-03-01
Nebraska,347.81,554,249.25,553,141.75999999999999,65,2014-03-01
Nevada,268.50999999999999,961,217.94,1021,252.49000000000001,63,2014-03-01
New Hampshire,370.08999999999997,463,289.97000000000003,481,677.38,41,2014-03-01
New Jersey,353.33999999999997,2393,292.01999999999998,3049,231.68000000000001,207,2014-03-01
New Mexico,291.14999999999998,612,216.16,472,69.760000000000005,43,2014-03-01
New York,351.18000000000001,6209,267.69,6356,189.63999999999999,507,2014-03-01
North Carolina,354.51999999999998,3039,247.72999999999999,2099,151.27000000000001,246,2014-03-01
North Dakota,401.47000000000003,156,353.26999999999998,229,363.11000000000001,16,2014-03-01
Ohio,336.13,3306,213.46000000000001,3106,165.97999999999999,426,2014-03-01
Oklahoma,365.31999999999999,821,227.46000000000001,743,116.69,145,2014-03-01
Oregon,212.00999999999999,1731,188.5,1450,169.34,68,2014-03-01
Maryland,379.56,2147,250.78,1711,191.00999999999999,163,2014-03-01
Massachusetts,352.17000000000002,3094,295.62,2690,218.96000000000001,233,2014-03-01
Michigan,297.45999999999998,3241,273.81999999999999,2756,226.38,240,2014-03-01
Minnesota,368.88,1845,277.97000000000003,1701,181.28,103,2014-03-01
Mississippi,339.99000000000001,451,146.75,394,140.36000000000001,112,2014-03-01
Missouri,367.25,1707,243.00999999999999,1416,149.40000000000001,217,2014-03-01
Pennsylvania,370.51999999999998,4210,266.67000000000002,3571,190.52000000000001,394,2014-03-01
Rhode Island,332.54000000000002,570,259.32999999999998,387,201.75,34,2014-03-01
South Carolina,345.87,1267,202.41,998,186.66,131,2014-03-01
South Dakota,387.88999999999999,177,354.47000000000003,183,124.17,21,2014-03-01
Tennessee,356.50999999999999,1689,226.78,1358,192.43000000000001,168,2014-03-01
Texas,341.56999999999999,6499,235.59,6267,144.44999999999999,933,2014-03-01
Utah,292.86000000000001,736,234.53999999999999,759,189.78,47,2014-03-01
Vermont,376.95999999999998,293,320.60000000000002,256,187.63999999999999,25,2014-03-01
Virginia,372.81,2662,288.31999999999999,2165,226.38999999999999,225,2014-03-01
Washington,234.91,2519,191.28,2558,146.31999999999999,117,2014-03-01
West Virginia,362.31999999999999,403,217.31999999999999,403,160.38,43,2014-03-01
Wisconsin,357.13999999999999,1755,269.92000000000002,1510,238.37,138,2014-03-01
Wyoming,352.41000000000003,97,378.45999999999998,144,161.30000000000001,11,2014-03-01
Alabama,340.69999999999999,1206,204.47999999999999,1083,145.88,141,2014-04-01
Alaska,287.58999999999997,286,256.77999999999997,343,388.57999999999998,26,2014-04-01
Arizona,302.51999999999998,2148,208.66999999999999,1857,193.93000000000001,251,2014-04-01
Arkansas,352.22000000000003,659,183.16999999999999,619,129.25999999999999,127,2014-04-01
California,246.75999999999999,13396,192.91,14527,191.97999999999999,863,2014-04-01
Colorado,237.53,2511,196.47,2087,226.28,150,2014-04-01
Connecticut,346.14999999999998,1438,275.45999999999998,1511,252.31,95,2014-04-01
Delaware,372.35000000000002,388,226.24000000000001,315,206.61000000000001,36,2014-04-01
District of Columbia,346.58999999999997,492,291.01999999999998,407,214.34999999999999,44,2014-04-01
Florida,304.77999999999997,7451,218.72999999999999,6071,152.72,577,2014-04-01
Georgia,329.31999999999999,3503,214.84999999999999,2595,152.81999999999999,249,2014-04-01
Hawaii,314.67000000000002,365,276.75,402,167.62,27,2014-04-01
Idaho,275.25999999999999,348,256.25999999999999,509,140.27000000000001,26,2014-04-01
Illinois,357.42000000000002,4508,286.74000000000001,4118,189.87,376,2014-04-01
Indiana,334.81,1883,209.80000000000001,1675,158.28,269,2014-04-01
Iowa,370.67000000000002,767,292.42000000000002,747,247.69,107,2014-04-01
Kansas,351.51999999999998,937,262.20999999999998,737,121.53,117,2014-04-01
Kentucky,340.74000000000001,1155,183.18000000000001,1128,125.28,146,2014-04-01
Louisiana,370.00999999999999,1208,244.68000000000001,999,147.94,257,2014-04-01
Maine,319.57999999999998,502,259.17000000000002,487,216.72,56,2014-04-01
Montana,268.75,629,249.81999999999999,298,660.66999999999996,25,2014-04-01
Nebraska,345.00999999999999,574,250.38,564,140.02000000000001,68,2014-04-01
Nevada,267.81999999999999,996,227.81,1064,252.49000000000001,63,2014-04-01
New Hampshire,361.01999999999998,478,290.22000000000003,502,677.38,41,2014-04-01
New Jersey,352.68000000000001,2469,291.79000000000002,3179,232.13,215,2014-04-01
New Mexico,291.31,629,213.78,492,75.239999999999995,46,2014-04-01
New York,350.08999999999997,6385,266.54000000000002,6602,205.80000000000001,522,2014-04-01
North Carolina,353.87,3178,245.65000000000001,2212,151.31999999999999,248,2014-04-01
North Dakota,401.73000000000002,163,364.35000000000002,236,347.50999999999999,17,2014-04-01
Ohio,335.89999999999998,3413,215.25999999999999,3249,165.02000000000001,439,2014-04-01
Oklahoma,364.76999999999998,851,229.69999999999999,783,121.23999999999999,151,2014-04-01
Oregon,210.81,1783,186.31,1507,165.53999999999999,72,2014-04-01
Maryland,376.52999999999997,2229,249.5,1788,190.34,165,2014-04-01
Massachusetts,350.19,3198,294.30000000000001,2797,217.88,239,2014-04-01
Michigan,295.31999999999999,3337,272.57999999999998,2844,229.02000000000001,244,2014-04-01
Minnesota,367.91000000000003,1919,276.99000000000001,1792,186.50999999999999,106,2014-04-01
Mississippi,343.54000000000002,471,147.09,406,141.38999999999999,118,2014-04-01
Missouri,368.12,1777,244.86000000000001,1503,150.52000000000001,224,2014-04-01
Pennsylvania,369.10000000000002,4376,267.52999999999997,3701,193.44,411,2014-04-01
