State|HighQ|HighQN|date
Tennessee|353.29000000000002|1934|2014-07-01
Texas|337.88|7242|2014-07-01
Utah|289.31|825|2014-07-01
Vermont|375.80000000000001|322|2014-07-01
Virginia|368.75999999999999|3005|2014-07-01
Washington|232.05000000000001|2840|2014-07-01
West Virginia|354.39999999999998|471|2014-07-01
Wisconsin|353.38999999999999|1935|2014-07-01
Wyoming|351.77999999999997|110|2014-07-01
Alabama|340.63|1381|2014-08-01
Alaska|288.33999999999997|324|2014-08-01
Arizona|300.70999999999998|2384|2014-08-01
Arkansas|348.99000000000001|741|2014-08-01
California|245.36000000000001|14948|2014-08-01
Colorado|238.05000000000001|2799|2014-08-01
Connecticut|341.76999999999998|1603|2014-08-01
Delaware|367.26999999999998|441|2014-08-01
District of Columbia|346.37|567|2014-08-01
Florida|301.70999999999998|8404|2014-08-01
Georgia|326.73000000000002|3944|2014-08-01
Hawaii|309.87|409|2014-08-01
Idaho|276.41000000000003|391|2014-08-01
Illinois|355.77999999999997|5004|2014-08-01
Indiana|333.19|2118|2014-08-01
Iowa|367.18000000000001|865|2014-08-01
Kansas|351.17000000000002|1041|2014-08-01
Kentucky|338.52999999999997|1306|2014-08-01
Louisiana|366.72000000000003|1363|2014-08-01
Maine|317.67000000000002|551|2014-08-01
Montana|266.89999999999998|680|2014-08-01
Nebraska|341.38|631|2014-08-01
Nevada|269.23000000000002|1105|2014-08-01
New Hampshire|358.26999999999998|528|2014-08-01
New Jersey|349.49000000000001|2742|2014-08-01
New Mexico|289.74000000000001|696|2014-08-01
New York|347.23000000000002|7041|2014-08-01
North Carolina|349.70999999999998|3594|2014-08-01
North Dakota|405.04000000000002|185|2014-08-01
Ohio|334.88|3796|2014-08-01
Oklahoma|363.94|944|2014-08-01
Oregon|208.90000000000001|1968|2014-08-01
Maryland|370.48000000000002|2520|2014-08-01
Massachusetts|350.48000000000002|3616|2014-08-01
Michigan|291.98000000000002|3642|2014-08-01
Minnesota|357.82999999999998|2120|2014-08-01
Mississippi|335.64999999999998|534|2014-08-01
Missouri|357.47000000000003|1977|2014-08-01
Pennsylvania|366.06999999999999|4896|2014-08-01
Rhode Island|322.31|642|2014-08-01
South Carolina|342.13999999999999|1479|2014-08-01
South Dakota|377.37|194|2014-08-01
Tennessee|353.13999999999999|1986|2014-08-01
Texas|337.48000000000002|7440|2014-08-01
Utah|287.31999999999999|859|2014-08-01
Vermont|375.26999999999998|328|2014-08-01
Virginia|367.63|3081|2014-08-01
Washington|232.88999999999999|2976|2014-08-01
West Virginia|354.37|488|2014-08-01
Wisconsin|353.19|1990|2014-08-01
Wyoming|349.69|116|2014-08-01
Alabama|339.19999999999999|1043|2014-01-02
Alaska|289.67000000000002|254|2014-01-02
Arizona|303.36000000000001|1943|2014-01-02
Arkansas|361.85000000000002|576|2014-01-02
California|248.66999999999999|12125|2014-01-02
Colorado|236.19999999999999|2165|2014-01-02
Connecticut|347.83999999999997|1296|2014-01-02
Delaware|373.18000000000001|347|2014-01-02
District of Columbia|352.01999999999998|434|2014-01-02
Florida|306.35000000000002|6518|2014-01-02
Georgia|332.23000000000002|3106|2014-01-02
Hawaii|310.95999999999998|328|2014-01-02
Idaho|276.05000000000001|315|2014-01-02
Illinois|359.68000000000001|4014|2014-01-02
Indiana|336.79000000000002|1668|2014-01-02
Iowa|372.38|699|2014-01-02
Kansas|353.66000000000003|839|2014-01-02
Kentucky|337.56999999999999|1015|2014-01-02
Louisiana|377.69|1074|2014-01-02
Maine|321.10000000000002|450|2014-01-02
Montana|279.73000000000002|585|2014-01-02
Nebraska|352.63999999999999|508|2014-01-02
Nevada|269.63|901|2014-01-02
New Hampshire|366.33999999999997|423|2014-01-02
New Jersey|354.80000000000001|2246|2014-01-02
New Mexico|293.86000000000001|565|2014-01-02
New York|351.97000000000003|5810|2014-01-02
North Carolina|355.68000000000001|2778|2014-01-02
North Dakota|412.83999999999997|137|2014-01-02
Ohio|336.58999999999997|3054|2014-01-02
Oklahoma|364.62|755|2014-01-02
Oregon|213.38999999999999|1615|2014-01-02
Maryland|380.56|1967|2014-01-02
Massachusetts|354.57999999999998|2886|2014-01-02
Michigan|299.33999999999997|3055|2014-01-02
Minnesota|371.19|1717|2014-01-02
Mississippi|340.70999999999998|412|2014-01-02
Missouri|371.56999999999999|1559|2014-01-02
Pennsylvania|372.63999999999999|3831|2014-01-02
Rhode Island|335.12|530|2014-01-02
South Carolina|349.02999999999997|1155|2014-01-02
South Dakota|387.80000000000001|161|2014-01-02
Tennessee|359.75|1546|2014-01-02
Texas|343.35000000000002|6002|2014-01-02
Utah|291.69999999999999|687|2014-01-02
Vermont|379.88|277|2014-01-02
Virginia|373.62|2478|2014-01-02
Washington|236.13|2354|2014-01-02
West Virginia|359.80000000000001|351|2014-01-02
Wisconsin|358.19|1627|2014-01-02
Wyoming|355.89999999999998|93|2014-01-02
Alabama|338.87|1097|2014-02-02
Alaska|288.81|265|2014-02-02
Arizona|303.22000000000003|2021|2014-02-02
Arkansas|359.41000000000003|604|2014-02-02
California|248.21000000000001|12580|2014-02-02
Colorado|237.55000000000001|2310|2014-02-02
Connecticut|346.72000000000003|1347|2014-02-02
Delaware|373.45999999999998|365|2014-02-02
District of Columbia|349.63999999999999|463|2014-02-02
Florida|305.88|6836|2014-02-02
Georgia|332.14999999999998|3240|2014-02-02
Hawaii|307.75999999999999|338|2014-02-02
Idaho|275.30000000000001|327|2014-02-02
Illinois|356.79000000000002|4198|2014-02-02
Indiana|335.31999999999999|1750|2014-02-02
Iowa|369.76999999999998|725|2014-02-02
Kansas|354.82999999999998|863|2014-02-02
Kentucky|338.85000000000002|1060|2014-02-02
Louisiana|374.19999999999999|1137|2014-02-02
Maine|319.11000000000001|471|2014-02-02
Montana|271.16000000000003|601|2014-02-02
Nebraska|349.72000000000003|535|2014-02-02
Nevada|270.12|938|2014-02-02
New Hampshire|376.82999999999998|450|2014-02-02
New Jersey|354.58999999999997|2323|2014-02-02
New Mexico|293.37|588|2014-02-02
New York|352.31999999999999|6056|2014-02-02
North Carolina|355.33999999999997|2925|2014-02-02
North Dakota|408.37|144|2014-02-02
Ohio|336.44|3189|2014-02-02
Oklahoma|364.74000000000001|793|2014-02-02
Oregon|212.27000000000001|1680|2014-02-02
Maryland|379.93000000000001|2066|2014-02-02
Massachusetts|352.88999999999999|3000|2014-02-02
Michigan|298.13999999999999|3163|2014-02-02
Minnesota|370.06|1788|2014-02-02
Mississippi|339.25999999999999|431|2014-02-02
Missouri|367.41000000000003|1637|2014-02-02
Pennsylvania|371.30000000000001|4027|2014-02-02
