"Date_received","Submitted_via","count"
"12/28/2011","Referral",32
"12/28/2011","Web",43
"01/02/2012","Web",27
"11/08/2014","Postal mail",3
"11/08/2014","Phone",1
"11/08/2014","Web",168
"11/08/2014","Referral",6
"08/31/2012","Email",3
"08/31/2012","Fax",6
"08/31/2012","Phone",19
"08/31/2012","Postal mail",9
"08/31/2012","Web",86
"08/31/2012","Referral",52
"09/22/2012","Web",32
"11/23/2013","Phone",1
"11/23/2013","Referral",11
"11/23/2013","Web",124
"09/07/2014","Referral",1
"09/07/2014","Web",98
"02/09/2013","Web",69
"02/09/2013","Phone",2
"02/09/2013","Referral",53
"02/09/2013","Postal mail",6
"07/01/2012","Email",1
"07/01/2012","Web",29
"09/20/2014","Referral",1
"09/20/2014","Web",141
"11/12/2019","Fax",1
"11/12/2019","Postal mail",3
"11/12/2019","Phone",16
"11/12/2019","Referral",7
"11/12/2019","Web",203
"11/14/2019","Phone",7
"11/14/2019","Referral",4
"11/14/2019","Web",84
"11/03/2019","Web",334
"01/10/2016","Web",166
"03/21/2015","Web",183
"08/30/2019","Postal mail",15
"08/30/2019","Fax",3
"08/30/2019","Referral",91
"08/30/2019","Phone",57
"08/30/2019","Web",638
"08/31/2019","Phone",1
"08/31/2019","Referral",3
"08/31/2019","Web",380
"05/03/2014","Phone",1
"05/03/2014","Web",126
"07/14/2012","Web",41
"11/22/2014","Referral",1
"11/22/2014","Postal mail",5
"11/22/2014","Web",184
"01/17/2014","Fax",12
"01/17/2014","Postal mail",49
"01/17/2014","Referral",100
"01/17/2014","Phone",54
"01/17/2014","Web",331
"03/25/2017","Phone",1
"03/25/2017","Web",276
"04/10/2012","Postal mail",21
"04/10/2012","Email",2
"04/10/2012","Phone",43
"04/10/2012","Web",94
"04/10/2012","Referral",119
"03/06/2014","Fax",7
"03/06/2014","Phone",39
"03/06/2014","Referral",133
"03/06/2014","Postal mail",36
"03/06/2014","Web",397
"12/12/2016","Fax",13
"12/12/2016","Postal mail",30
"12/12/2016","Phone",42
"12/12/2016","Web",519
"12/12/2016","Referral",113
"09/01/2012","Referral",1
"09/01/2012","Web",37
"01/20/2013","Web",56
"03/12/2012","Email",1
"03/12/2012","Postal mail",11
"03/12/2012","Phone",23
"03/12/2012","Referral",151
"03/12/2012","Web",86
"03/03/2019","Web",343
"04/13/2014","Referral",1
"04/13/2014","Web",112
"05/02/2019","Fax",5
"05/02/2019","Postal mail",30
"05/02/2019","Phone",44
"05/02/2019","Referral",86
"05/02/2019","Web",842
"06/07/2014","Phone",1
"06/07/2014","Web",134
"06/08/2014","Web",106
"07/14/2019","Web",285
"05/11/2014","Web",87
"07/21/2012","Web",69
"06/12/2016","Web",205
"10/30/2019","Postal mail",3
"10/30/2019","Phone",86
"10/30/2019","Referral",73
"10/30/2019","Web",847
"12/11/2016","Web",171
"09/22/2013","Web",90
"11/25/2012","Web",59
"02/26/2012","Referral",1
"02/26/2012","Web",34
"12/27/2014","Web",124
"12/27/2014","Postal mail",4
"05/23/2015","Phone",3
"05/23/2015","Web",137
"12/19/2015","Phone",2
"12/19/2015","Web",197
"03/17/2018","Web",377
"05/29/2016","Web",122
"09/08/2019","Web",371
"05/20/2019","Fax",1
"05/20/2019","Referral",62
"05/20/2019","Postal mail",23
"05/20/2019","Phone",59
"05/20/2019","Web",642
"08/24/2014","Web",141
"01/01/2016","Web",142
"10/12/2013","Phone",1
"10/12/2013","Web",77
"12/02/2018","Web",307
"10/25/2019","Postal mail",9
"10/25/2019","Fax",11
"10/25/2019","Phone",61
"10/25/2019","Referral",64
"10/25/2019","Web",689
"11/15/2012","Fax",5
"11/15/2012","Phone",20
"11/15/2012","Web",139
"11/15/2012","Postal mail",37
"11/15/2012","Referral",167
"12/21/2013","Phone",2
"12/21/2013","Referral",43
"12/21/2013","Web",134
"05/27/2012","Referral",1
"05/27/2012","Web",18
"06/23/2019","Web",406
"04/07/2019","Web",387
"11/21/2013","Fax",4
"11/21/2013","Postal mail",17
"11/21/2013","Phone",47
"11/21/2013","Referral",98
"11/21/2013","Web",245
"12/08/2012","Phone",2
"12/08/2012","Web",68
"05/08/2016","Web",176
"11/01/2014","Phone",1
"11/01/2014","Web",146
"08/30/2014","Web",137
"05/30/2012","Email",1
"05/30/2012","Fax",4
"05/30/2012","Web",88
"05/30/2012","Postal mail",49
"05/30/2012","Referral",177
"05/30/2012","Phone",30
"07/04/2012","Phone",2
"07/04/2012","Web",32
"09/03/2012","Web",27
"03/31/2019","Web",356
"03/12/2019","Fax",6
"03/12/2019","Postal mail",13
"03/12/2019","Referral",71
"03/12/2019","Phone",69
"03/12/2019","Web",896
"06/11/2016","Phone",2
"06/11/2016","Web",182
"10/28/2019","Fax",4
"10/28/2019","Postal mail",18
"10/28/2019","Phone",82
"10/28/2019","Referral",82
"10/28/2019","Web",775
"08/28/2016","Web",196
"11/07/2019","Postal mail",16
"11/07/2019","Phone",23
"11/07/2019","Fax",2
"11/07/2019","Web",323
"11/07/2019","Referral",28
"12/25/2017","Web",169
"06/05/2016","Web",187
"10/24/2019","Fax",2
"10/24/2019","Phone",67
"10/24/2019","Referral",63
"10/24/2019","Postal mail",46
"10/24/2019","Web",800
"10/22/2017","Web",315
"09/02/2012","Web",20
"06/22/2016","Referral",52
"06/22/2016","Phone",67
"06/22/2016","Fax",8
"06/22/2016","Postal mail",60
"06/22/2016","Web",454
"10/21/2019","Fax",5
"10/21/2019","Postal mail",26
"10/21/2019","Referral",78
"10/21/2019","Phone",83
"10/21/2019","Web",802
"01/12/2012","Email",2
"01/12/2012","Postal mail",3
"01/12/2012","Phone",10
"01/12/2012","Web",78
"01/12/2012","Referral",13
"02/26/2017","Web",280
"01/20/2019","Web",237
"06/02/2013","Web",64
"11/30/2012","Phone",15
"11/30/2012","Postal mail",13
"11/30/2012","Fax",9
"11/30/2012","Referral",78
"11/30/2012","Web",118
"11/05/2019","Email",1
"11/05/2019","Phone",38
"11/05/2019","Postal mail",35
"11/05/2019","Referral",42
"11/05/2019","Fax",9
"11/05/2019","Web",632
"10/28/2013","Phone",49
"10/28/2013","Fax",8
"10/28/2013","Referral",60
"10/28/2013","Postal mail",101
"10/28/2013","Web",240
"12/23/2017","Phone",1
"12/23/2017","Web",305
"02/16/2012","Postal mail",1
"02/16/2012","Phone",10
"02/16/2012","Fax",2
"02/16/2012","Web",79
"02/16/2012","Referral",75
"09/04/2016","Web",145
"06/28/2019","Fax",52
"06/28/2019","Referral",59
"06/28/2019","Postal mail",70
"06/28/2019","Web",643
"06/28/2019","Phone",54
"04/26/2012","Phone",29
"04/26/2012","Web",78
"04/26/2012","Postal mail",1
"04/26/2012","Referral",115
"12/02/2017","Postal mail",1
"12/02/2017","Phone",1
"12/02/2017","Web",310
"09/25/2016","Web",261
"01/23/2012","Fax",1
"01/23/2012","Postal mail",5
"01/23/2012","Referral",18
"01/23/2012","Web",63
"01/23/2012","Phone",9
"06/22/2019","Phone",1
"06/22/2019","Referral",2
"06/22/2019","Fax",47
"06/22/2019","Web",421
"12/12/2011","Referral",10
"12/12/2011","Postal mail",4
"12/12/2011","Phone",29
"12/12/2011","Web",120
"06/22/2013","Phone",1
"06/22/2013","Fax",4
"06/22/2013","Referral",42
"06/22/2013","Postal mail",27
"06/22/2013","Web",78
"10/20/2012","Web",47
"05/24/2014","Web",119
"08/21/2019","Email",1
"08/21/2019","Fax",6
"08/21/2019","Phone",70
"08/21/2019","Referral",77
"08/21/2019","Postal mail",29
"08/21/2019","Web",953
"04/23/2016","Phone",1
"04/23/2016","Web",194
"07/05/2019","Postal mail",45
"07/05/2019","Fax",20
"07/05/2019","Phone",42
"07/05/2019","Referral",103
"07/05/2019","Web",551
"03/29/2014","Referral",1
"03/29/2014","Web",200
"07/27/2014","Web",124
"06/14/2013","Fax",7
"06/14/2013","Postal mail",16
"06/14/2013","Web",153
"06/14/2013","Referral",151
"06/14/2013","Phone",37
"07/22/2018","Web",308
"09/27/2019","Fax",4
"09/27/2019","Postal mail",7
"09/27/2019","Phone",83
"09/27/2019","Referral",92
"09/27/2019","Web",669
"12/28/2014","Web",142
"08/13/2019","Postal mail",27
"08/13/2019","Fax",19
"08/13/2019","Phone",66
"08/13/2019","Referral",101
"08/13/2019","Web",985
"06/14/2019","Fax",14
"06/14/2019","Phone",51
"06/14/2019","Postal mail",21
"06/14/2019","Web",628
"06/14/2019","Referral",66
"07/02/2012","Fax",6
"07/02/2012","Postal mail",15
"07/02/2012","Phone",40
"07/02/2012","Web",104
"07/02/2012","Referral",49
"10/26/2013","Referral",1
"10/26/2013","Phone",1
"10/26/2013","Web",117
"04/05/2014","Phone",3
"04/05/2014","Fax",7
"04/05/2014","Postal mail",14
"04/05/2014","Referral",27
"04/05/2014","Web",183
"02/07/2016","Web",163
"02/01/2012","Email",1
"02/01/2012","Fax",1
"02/01/2012","Postal mail",2
"02/01/2012","Phone",6
"02/01/2012","Referral",63
"02/01/2012","Web",84
"01/07/2014","Email",1
"01/07/2014","Fax",12
"01/07/2014","Phone",46
"01/07/2014","Referral",80
"01/07/2014","Web",317
"01/07/2014","Postal mail",50
"11/06/2015","Fax",13
"11/06/2015","Postal mail",55
"11/06/2015","Phone",27
"11/06/2015","Web",380
"11/06/2015","Referral",100
"02/01/2014","Referral",4
"02/01/2014","Phone",2
"02/01/2014","Postal mail",1
"02/01/2014","Web",166
"07/24/2016","Web",195
"01/07/2012","Web",73
"01/07/2012","Referral",1
"11/11/2019","Web",211
"05/23/2019","Phone",69
"05/23/2019","Postal mail",31
"05/23/2019","Fax",7
"05/23/2019","Referral",95
"05/23/2019","Web",694
"11/13/2019","Phone",9
"11/13/2019","Referral",14
"11/13/2019","Postal mail",11
"11/13/2019","Web",241
"03/20/2012","Fax",3
"03/20/2012","Email",3
"03/20/2012","Postal mail",13
"03/20/2012","Web",87
"03/20/2012","Referral",77
"03/20/2012","Phone",31
"12/18/2013","Fax",12
"12/18/2013","Postal mail",5
"12/18/2013","Referral",122
"12/18/2013","Web",259
"12/18/2013","Phone",42
"10/18/2012","Phone",30
